pic_name,Product_name,Brand_name,price,Discount,Discount_price,description,color1,color2,color3,color4,size1,size2,size3,size4,size5,size6,size7
Accessoires_Sieraden_Oorbellen_1,Oorbellen Michelle,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,Goudkleurig,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_2,Oorbellen Ruby,R&R jewellery,4.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_3,Oorbellen Angie,R&R jewellery,5.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_4,Oorbellen Jane,R&R jewellery,5.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_5,Oorbellen Eleanor,R&R jewellery,4.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_6,Oorbellen Martha,R&R jewellery,5.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_7,Oorbellen Julia,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_8,Oorbellen Rita,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_9,Oorbellen Madonna,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,Blauw,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_10,Oorbellen Lucy,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,Goudkleurig,,,,,,,,,,
Accessoires_Tassen_Handtassen_1,Handtas Lizzie,BeatBags,54.95,10%,49.46,Het leer dat in deze tassen wordt gebruikt wordt zonder gebruik van zware metalen gelooid in Brazilië. De tassen worden in elkaar gezet in ons atelier in Spanje.,Groen,Bruin,,,,,,,,,
Accessoires_Tassen_Handtassen_2,Handtas Prudence,BeatBags,59.95,15%,50.96,Het leer dat in deze tassen wordt gebruikt wordt zonder gebruik van zware metalen gelooid in Brazilië. De tassen worden in elkaar gezet in ons atelier in Spanje.,Groen,Bruin,,,,,,,,,
Accessoires_Tassen_Handtassen_3,Handtas Molly,BeatBags,59.95,15%,50.96,Het leer dat in deze tassen wordt gebruikt wordt zonder gebruik van zware metalen gelooid in Brazilië. De tassen worden in elkaar gezet in ons atelier in Spanje.,Roze,Paars,Rood,,,,,,,,
Accessoires_Sieraden_Armbandjes_1,Armband Nancy,R&R jewellery,9.95,25%,7.46,"Handgemaakt in ateliers in Nepal, onder fairtrade principes. We ondernemen verschillende activiteiten om de kwaliteit van leven in de gemeenschappen van de handwerkers te verbeteren",Blauw,Turquoise,Groen,,,,,,,,
Accessoires_Sieraden_Armbandjes_2,Armband Anna,R&R jewellery,9.95,25%,7.46,"Handgemaakt in ateliers in Nepal, onder fairtrade principes. We ondernemen verschillende activiteiten om de kwaliteit van leven in de gemeenschappen van de handwerkers te verbeteren",Blauw,Donkerblauw,Paars,,,,,,,,
Accessoires_Sieraden_Armbandjes_3,Armband Sadie,R&R jewellery,12.95,,,"Handgemaakt in ateliers in Nepal, onder fairtrade principes. We ondernemen verschillende activiteiten om de kwaliteit van leven in de gemeenschappen van de handwerkers te verbeteren",Rood,Bruin,Roze,,,,,,,,
Accessoires_Sieraden_Armbandjes_4,Armband Valerie,R&R jewellery,12.95,,,"Handgemaakt in ateliers in Nepal, onder fairtrade principes. We ondernemen verschillende activiteiten om de kwaliteit van leven in de gemeenschappen van de handwerkers te verbeteren",Blauw,Donkerblauw,Paars,,,,,,,,
Accessoires_Tassen_1,Tas Maggie-May,BeatBags,39.95,,,"Leuke vegetarische tas, die gebruikt kan worden als sporttas of weekendtas. Het nepleer wordt volledig duurzaam en klimaatneutraal gefabriceerd. De tas bevat geen dierlijke producten.",Wit,Lichtblauw,Blauw,,,,,,,,
Accessoires_Tassen_2,Tas Pam,BeatBags,39.95,,,"Leuke vegetarische tas, die gebruikt kan worden als sporttas of weekendtas. Het nepleer wordt volledig duurzaam en klimaatneutraal gefabriceerd. De tas bevat geen dierlijke producten.",Wit,Zwart,,,,,,,,,
Accessoires_Tassen_Shoppers_1,Shopper Blauw,,54.99,,,"Deze hippe shoppers worden in Delhi, India gemaakt van gerecycled plastic in een fairtrade gecertificeerde fabriek.",Donkerblauw,Blauw,Paars,,,,,,,,
Accessoires_Tassen_Shoppers_2,Shopper Geel,,54.99,,,"Deze hippe shoppers worden in Delhi, India gemaakt van gerecycled plastic in een fairtrade gecertificeerde fabriek.",Geel,Bruin,Groen,,,,,,,,
Accessoires_Tassen_Shoppers_3,Shopper Rood,,54.99,,,"Deze hippe shoppers worden in Delhi, India gemaakt van gerecycled plastic in een fairtrade gecertificeerde fabriek.",Rood,Bruin,Roze,,,,,,,,
Accessoires_Tassen_Shoppers_4,Shopper Lichtblauw,,54.99,,,"Deze hippe shoppers worden in Delhi, India gemaakt van gerecycled plastic in een fairtrade gecertificeerde fabriek.",Blauw,Lichtblauw,Donkerblauw,,,,,,,,
Kleding_Broeken_Kort_1,Short,,25.95,,,Deze mooie korte broeken zijn gemaakt van biologisch katoen. Ze worden in een atelier in Portugal gemaakt.,Grijs,Blauw,Lichtblauw,Donkerblauw,S,M,L,,,,
Kleding_Broeken_Kort_2,Short,,25.95,,,Deze mooie korte broeken zijn gemaakt van biologisch katoen. Ze worden in een atelier in Portugal gemaakt.,Roze,,,,S,M,L,,,,
Kleding_Broeken_Kort_3,Short,,25.95,,,Deze mooie korte broeken zijn gemaakt van biologisch katoen. Ze worden in een atelier in Portugal gemaakt.,Groen,Donkergroen,Lichtgroen,,S,M,L,,,,
Kleding_Broeken_Kort_4,Short,,25.95,,,Deze mooie korte broeken zijn gemaakt van biologisch katoen. Ze worden in een atelier in Portugal gemaakt.,Paars,Blauw,,,S,M,L,,,,
Kleding_Broeken_Lang_1,Jeans ,,98.90,20%,79.12,Deze lange broeken van hoge kwaliteit zijn gemaakt van gerecycled en biologisch katoen. Ze worden in Italië gemaakt. ,Blauw,Lichtblauw,Grijs,,34,36,38,40,42,44,46
Kleding_Broeken_Lang_2,Jeans ,,98.90,20%,79.12,Deze lange broeken van hoge kwaliteit zijn gemaakt van gerecycled en biologisch katoen. Ze worden in Italië gemaakt. ,Grijs,Donkergrijs,Blauw,,34,36,38,40,42,44,46
Kleding_Broeken_Lang_3,Pantalon,,98.90,20%,79.12,Deze lange broeken van hoge kwaliteit zijn gemaakt van gerecycled en biologisch katoen. Ze worden in Italië gemaakt. ,Groen,Donkergroen,Legergroen,,34,36,38,40,42,44,46
Kleding_Broeken_Lang_4,Pantalon,,98.90,20%,79.12,Deze lange broeken van hoge kwaliteit zijn gemaakt van gerecycled en biologisch katoen. Ze worden in Italië gemaakt. ,Blauw,Donkerblauw,Lichtblauw,,34,36,38,40,42,44,46
Kleding_Broeken_Lang_5,Pantalon,,98.90,20%,79.12,Deze lange broeken van hoge kwaliteit zijn gemaakt van gerecycled en biologisch katoen. Ze worden in Italië gemaakt. ,Geel ,Wit,,,34,36,38,40,42,44,46
Kleding_Jurken_1,Zomerjurk,,38.99,,,"Vrolijke zomerjurkjes, gemaakt in Bangladesh in een fairtrade gecertificeerde fabriek. We werken aan verschillende initiatieven om de gemeenschappen van werknemers te versterken. Er wordt alleen gebruik gemaakt van biologisch katoen. ",Roze,,,,xs,s,m,l,xl,,
Kleding_Jurken_2,Zomerjurk,,38.99,,,"Vrolijke zomerjurkjes, gemaakt in Bangladesh in een fairtrade gecertificeerde fabriek. We werken aan verschillende initiatieven om de gemeenschappen van werknemers te versterken. Er wordt alleen gebruik gemaakt van biologisch katoen. ",Lichtblauw,Blauw,,,xs,s,m,l,xl,,
Kleding_Jurken_3,Zomerjurk,,38.99,,,"Vrolijke zomerjurkjes, gemaakt in Bangladesh in een fairtrade gecertificeerde fabriek. We werken aan verschillende initiatieven om de gemeenschappen van werknemers te versterken. Er wordt alleen gebruik gemaakt van biologisch katoen. ",Geel ,Oranje ,Rood,,xs,s,m,l,xl,,
Kleding_Jurken_4,Zomerjurk,,38.99,,,"Vrolijke zomerjurkjes, gemaakt in Bangladesh in een fairtrade gecertificeerde fabriek. We werken aan verschillende initiatieven om de gemeenschappen van werknemers te versterken. Er wordt alleen gebruik gemaakt van biologisch katoen. ",Groen ,Lichtgroen,,,xs,s,m,l,xl,,
Kleding_Rokken_Kort_1,Rok,,29.99,,,Deze rokjes kun je zowel in je vrije tijd als naar je werk dragen en zijn verkrijgbaar in verschillende kleuren. Ze worden in India gemaakt van biologisch katoen en onder goede arbeidsomstandigheden. ,Blauw,Donkerblauw,Grijs,,xxs,xs,s,m,l,xl,xxl
Kleding_Rokken_Kort_2,Rok,,29.99,,,Deze rokjes kun je zowel in je vrije tijd als naar je werk dragen en zijn verkrijgbaar in verschillende kleuren. Ze worden in India gemaakt van biologisch katoen en onder goede arbeidsomstandigheden. ,Roze,Rood,,,xxs,xs,s,m,l,xl,xxl
Kleding_Rokken_Kort_3,Rok,,29.99,,,Deze rokjes kun je zowel in je vrije tijd als naar je werk dragen en zijn verkrijgbaar in verschillende kleuren. Ze worden in India gemaakt van biologisch katoen en onder goede arbeidsomstandigheden. ,Geel,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Rokken_Kort_4,Rok,,29.99,,,Deze rokjes kun je zowel in je vrije tijd als naar je werk dragen en zijn verkrijgbaar in verschillende kleuren. Ze worden in India gemaakt van biologisch katoen en onder goede arbeidsomstandigheden. ,Grijs,Blauw,,,xxs,xs,s,m,l,xl,xxl
Kleding_Rokken_Kort_5,Rok,,29.99,,,Deze rokjes kun je zowel in je vrije tijd als naar je werk dragen en zijn verkrijgbaar in verschillende kleuren. Ze worden in India gemaakt van biologisch katoen en onder goede arbeidsomstandigheden. ,Blauw,Lichtblauw,Grijs,,xxs,xs,s,m,l,xl,xxl
Kleding_Rokken_Kort_6,Zomerrok,,34.95,,,"Vrolijk rokje voor in de zomer, verkrijgbaar in verschillende kleuren. Gemaakt van een combinatie van biologisch katoen en duurzaam gefabriceerde synthethische stoffen.",Roze,,,,xs,s,m,l,xl,,
Kleding_Rokken_Kort_7,Zomerrok,,34.95,,,"Vrolijk rokje voor in de zomer, verkrijgbaar in verschillende kleuren. Gemaakt van een combinatie van biologisch katoen en duurzaam gefabriceerde synthethische stoffen.",Roze,Paars,,,xs,s,m,l,xl,,
Kleding_Rokken_Kort_8,Zomerrok,,34.95,,,"Vrolijk rokje voor in de zomer, verkrijgbaar in verschillende kleuren. Gemaakt van een combinatie van biologisch katoen en duurzaam gefabriceerde synthethische stoffen.",Oranje ,Rood,,,xs,s,m,l,xl,,
Kleding_Rokken_Lang_1,Rok,,49.99,20%,39.99,"Stijlvolle lange rok, leuk om te combineren met een hoge hak. Biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Rokken_Lang_2,Rok,,49.99,20%,39.99,"Stijlvolle lange rok, leuk om te combineren met een hoge hak. Biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Rokken_Lang_3,Rok,,49.99,20%,39.99,"Stijlvolle lange rok, leuk om te combineren met een hoge hak. Biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Rokken_Lang_4,Rok,,49.99,20%,39.99,"Stijlvolle lange rok, leuk om te combineren met een hoge hak. Biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Truien_1,Trui,,39.95,,,Ervaar de zachtheid van bamboewol. Bamboewol is beter voor het milieu dan schapenwol. De truien zijn handgebreid in Nederland,,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Truien_2,Trui,,39.95,,,Ervaar de zachtheid van bamboewol. Bamboewol is beter voor het milieu dan schapenwol. De truien zijn handgebreid in Nederland,,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Truien_3,Trui,,39.95,,,Ervaar de zachtheid van bamboewol. Bamboewol is beter voor het milieu dan schapenwol. De truien zijn handgebreid in Nederland,,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Truien_4,Trui,,42.95,,,Ervaar de zachtheid van bamboewol. Bamboewol is beter voor het milieu dan schapenwol. De truien zijn handgebreid in Nederland,,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Truien_5,Trui,,42.95,,,Ervaar de zachtheid van bamboewol. Bamboewol is beter voor het milieu dan schapenwol. De truien zijn handgebreid in Nederland,,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Truien_6,Trui,,42.95,,,Ervaar de zachtheid van bamboewol. Bamboewol is beter voor het milieu dan schapenwol. De truien zijn handgebreid in Nederland,,,,,xxs,xs,s,m,l,xl,xxl
Kleding_Truien_7,Trui,,42.95,,,Ervaar de zachtheid van bamboewol. Bamboewol is beter voor het milieu dan schapenwol. De truien zijn handgebreid in Nederland,,,,,xxs,xs,s,m,l,xl,xxl
Kleding_T-Shirts_1,T-shirt,,24.99,,,"Een must-have basic, verkrijgbaar in verschillende kleuren. Gemaakt van 100% biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_T-Shirts_2,T-shirt,,24.99,,,"Een must-have basic, verkrijgbaar in verschillende kleuren. Gemaakt van 100% biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_T-Shirts_3,T-shirt,,24.99,,,"Een must-have basic, verkrijgbaar in verschillende kleuren. Gemaakt van 100% biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_T-Shirts_4,T-shirt,,24.99,,,"Een must-have basic, verkrijgbaar in verschillende kleuren. Gemaakt van 100% biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_T-Shirts_5,T-shirt,,24.99,,,"Een must-have basic, verkrijgbaar in verschillende kleuren. Gemaakt van 100% biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_T-Shirts_6,T-shirt,,24.99,,,"Een must-have basic, verkrijgbaar in verschillende kleuren. Gemaakt van 100% biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_T-Shirts_7,T-shirt,,24.99,,,"Een must-have basic, verkrijgbaar in verschillende kleuren. Gemaakt van 100% biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_T-Shirts_8,T-shirt,,24.99,,,"Een must-have basic, verkrijgbaar in verschillende kleuren. Gemaakt van 100% biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
Kleding_T-Shirts_9,T-shirt,,24.99,,,"Een must-have basic, verkrijgbaar in verschillende kleuren. Gemaakt van 100% biologisch katoen.",,,,,xxs,xs,s,m,l,xl,xxl
